Time,II,PLETH
00:38:41.6,-16.42,-102
00:38:41.6,-12.25,-106
00:38:41.6,-0.25,-114
00:38:41.6,21.92,-120
00:38:41.7,35.3,-126
00:38:41.7,35.77,-130
00:38:41.7,34.19,-132
00:38:41.7,29.73,-132
00:38:41.8,19.09,-128
00:38:41.8,12.42,-125
00:38:41.8,9.95,-123
00:38:41.8,9.52,-122
00:38:41.8,10.66,-120
00:38:41.9,11.07,-119
00:38:41.9,11.57,-119
00:38:41.9,10.97,-118
00:38:41.9,10.06,-116
00:38:41.9,9.08,-112
00:38:41.9,8.81,-109
00:38:42,7.53,-106
00:38:42,4.56,-104
00:38:42,42.88,-103
00:38:42,151.96,-102
00:38:42.1,109.61,-101
00:38:42.1,-66.79,-99
00:38:42.1,-120.11,-98
00:38:42.1,-110.53,-96
00:38:42.1,-97.92,-95
00:38:42.1,-82.89,-94
00:38:42.2,-67.24,-93
00:38:42.2,-58.08,-93
00:38:42.2,-54.95,-92
00:38:42.2,-53.53,-94
00:38:42.2,-49.1,-96
00:38:42.3,-34.57,-102
00:38:42.3,-13.87,-109
00:38:42.3,7.99,-116
00:38:42.3,25.12,-122
00:38:42.4,35.7,-128
00:38:42.4,35.89,-128
00:38:42.4,33.55,-132
00:38:42.4,30.63,-133
00:38:42.4,25.93,-134
00:38:42.4,20.83,-132
00:38:42.5,18.44,-127
00:38:42.5,16.99,-124
00:38:42.5,14.45,-123
00:38:42.5,19.24,-122
00:38:42.5,23.75,-121
00:38:42.6,25.3,-118
00:38:42.6,25.18,-116
00:38:42.6,24.85,-114
00:38:42.6,24.88,-112
00:38:42.7,24.12,-108
00:38:42.7,24.31,-105
00:38:42.7,24.06,-103
00:38:42.7,23.34,-102
00:38:42.7,22.88,-102
00:38:42.7,21.92,-101
00:38:42.8,20.12,-101
00:38:42.8,15.47,-99
00:38:42.8,11.82,-97
00:38:42.8,9.25,-96
00:38:42.9,4.61,-94
00:38:42.9,-1.27,-92
00:38:42.9,-3.7,-92
00:38:42.9,-11.15,-91
00:38:42.9,30.54,-91
00:38:42.9,158.77,-91
00:38:43,160.85,-91
00:38:43,42.69,-91
00:38:43,-111.51,-92
00:38:43,-106.32,-92
00:38:43,-99.6,-91
00:38:43,-91.44,-89
00:38:43.1,-82.5,-88
00:38:43.1,-71.48,-88
00:38:43.1,-60.48,-87
00:38:43.2,-51.94,-88
00:38:43.2,-41.21,-93
00:38:43.2,-31.69,-99
00:38:43.2,-21.48,-107
00:38:43.2,-1.95,-114
00:38:43.2,18.18,-121
00:38:43.2,26.1,-127
00:38:43.3,26.64,-132
00:38:43.3,28.77,-136
00:38:43.3,31.51,-137
00:38:43.3,33.28,-135
00:38:43.3,33.18,-131
00:38:43.4,34.22,-127
00:38:43.4,34.43,-126
00:38:43.4,32.51,-125
00:38:43.4,36.2,-125
00:38:43.5,33.73,-124
00:38:43.5,-72.24,-122
00:38:43.5,-204.01,-121
00:38:43.5,-54.6,-120
00:38:43.5,-32.4,-118
00:38:43.6,42.35,-117
00:38:43.6,177.58,-114
00:38:43.6,174.23,-110
00:38:43.6,162.91,-106
00:38:43.6,148.51,-106
00:38:43.7,138.73,-104
00:38:43.7,133.91,-102
00:38:43.7,130.29,-99
00:38:43.7,121.69,-97
00:38:43.8,103.03,-97
00:38:43.8,65.43,-97
00:38:43.8,17.68,-99
00:38:43.8,-19.37,-99
00:38:43.8,-49.41,-99
00:38:43.8,-73.66,-100
00:38:43.9,-98.33,-98
00:38:43.9,-125.57,-97
00:38:43.9,-86.27,-94
00:38:43.9,-33.26,-93
00:38:44,-57.97,-92
00:38:44,-167.2,-90
00:38:44,-79.5,-90
00:38:44,-32.82,-91
00:38:44,-19.41,-90
00:38:44,-16.38,-92
00:38:44.1,-14.2,-91
00:38:44.1,-12.45,-91
00:38:44.1,-8.19,-91
00:38:44.1,2.54,-90
00:38:44.1,19.09,-91
00:38:44.2,32.89,-93
00:38:44.2,34.31,-93
00:38:44.2,32.37,-95
00:38:44.2,26.35,-97
00:38:44.2,16.71,-100
00:38:44.2,11.54,-101
00:38:44.3,15.46,-100
00:38:44.3,30.57,-99
00:38:44.3,116.7,-99
00:38:44.3,263.21,-98
00:38:44.4,255.5,-97
00:38:44.4,240.04,-96
00:38:44.4,207.8,-96
00:38:44.4,-171.06,-96
00:38:44.4,-374.73,-95
00:38:44.4,-345.38,-94
00:38:44.5,-316.44,-93
00:38:44.5,-286.2,-92
00:38:44.5,-257.52,-95
00:38:44.5,-227.27,-96
00:38:44.6,-196.16,-97
00:38:44.6,-161.8,-96
00:38:44.6,-106.15,-95
00:38:44.6,-42.92,-94
00:38:44.6,43.04,-96
00:38:44.6,113.56,-96
00:38:44.7,151.26,-97
00:38:44.7,174.92,-99
00:38:44.7,181.07,-101
00:38:44.7,182.19,-102
00:38:44.7,174.35,-100
00:38:44.8,156.75,-99
00:38:44.8,139.49,-96
00:38:44.8,121.45,-96
00:38:44.8,106.11,-96
00:38:44.9,94.96,-96
00:38:44.9,83.4,-98
00:38:44.9,70.29,-98
00:38:44.9,53.56,-98
00:38:44.9,45.47,-99
00:38:45,39.17,-98
00:38:45,33.56,-98
00:38:45,25.89,-97
00:38:45,15.8,-96
00:38:45,3.7,-94
00:38:45.1,-3.86,-95
00:38:45.1,-3.36,-96
00:38:45.1,-1.67,-95
00:38:45.1,-0.71,-95
00:38:45.1,-1.11,-95
00:38:45.2,-3.95,-95
00:38:45.2,-14.53,-94
00:38:45.2,-0.76,-94
00:38:45.2,90.49,-92
00:38:45.2,160.82,-92
00:38:45.2,28.65,-92
00:38:45.3,-112.03,-92
00:38:45.3,-124.19,-92
00:38:45.3,-119.28,-91
00:38:45.3,-108.87,-93
00:38:45.4,-89.35,-94
00:38:45.4,-73.99,-95
00:38:45.4,-60.14,-97
00:38:45.4,-44.52,-102
00:38:45.4,-44.85,-108
00:38:45.4,-51.21,-114
00:38:45.5,-49.05,-119
00:38:45.5,-32.15,-125
00:38:45.5,-6.26,-131
00:38:45.6,5.43,-134
00:38:45.6,11.74,-135
00:38:45.6,20.34,-135
00:38:45.6,26.6,-133
00:38:45.6,29.01,-130
00:38:45.6,23.71,-127
00:38:45.6,29.77,-126
00:38:45.7,22.56,-126
00:38:45.7,-144.61,-125
00:38:45.7,-249.9,-124
00:38:45.7,-231.6,-121
00:38:45.8,-63.95,-118
00:38:45.8,149.79,-116
00:38:45.8,283.99,-116
00:38:45.8,302.7,-116
00:38:45.9,279.33,-117
00:38:45.9,252.67,-114
00:38:45.9,231.26,-113
00:38:45.9,210.22,-115
00:38:45.9,193.77,-114
00:38:45.9,174.91,-113
00:38:45.9,145.39,-110
00:38:46,91.64,-109
00:38:46,17.1,-108
00:38:46,-49.04,-106
00:38:46,-98.42,-106
00:38:46,-134.76,-104
00:38:46.1,-147.22,-102
00:38:46.1,-145.73,-102
00:38:46.1,-140.88,-101
00:38:46.1,-133.69,-102
00:38:46.2,-122.39,-103
00:38:46.2,-104.61,-102
00:38:46.2,-87.94,-102
00:38:46.2,-72.5,-102
00:38:46.2,-57.62,-102
00:38:46.2,-43.48,-101
00:38:46.3,-33.67,-101
00:38:46.3,-28.89,-98
00:38:46.3,-27.37,-97
00:38:46.3,-24.4,-97
00:38:46.3,-20.53,-96
00:38:46.4,-15.41,-97
00:38:46.4,-10.81,-98
00:38:46.4,-15.28,-98
00:38:46.4,13.83,-98
00:38:46.4,136.78,-98
00:38:46.5,204.8,-98
00:38:46.5,33.2,-97
00:38:46.5,-87.32,-95
00:38:46.5,-83.31,-95
00:38:46.6,-76.85,-95
00:38:46.6,-68.7,-95
00:38:46.6,-55.6,-95
00:38:46.6,-42.14,-94
00:38:46.6,-32.05,-95
00:38:46.6,-25.13,-99
00:38:46.7,-25.06,-107
00:38:46.7,-26.13,-115
00:38:46.7,-19.99,-122
00:38:46.7,-0.66,-126
00:38:46.7,24.56,-130
00:38:46.8,41.69,-131
00:38:46.8,53.31,-132
00:38:46.8,56.37,-132
00:38:46.8,50.81,-131
00:38:46.9,43.75,-131
00:38:46.9,43.34,-131
00:38:46.9,38.39,-129
00:38:46.9,8.04,-126
00:38:46.9,-75.21,-125
00:38:46.9,-166.92,-123
00:38:47,-142.43,-124
00:38:47,25.12,-122
00:38:47,198.13,-121
00:38:47,203.69,-118
00:38:47.1,205.68,-115
00:38:47.1,201.38,-113
00:38:47.1,190.94,-113
00:38:47.1,172.93,-113
00:38:47.1,146.14,-111
00:38:47.1,112.07,-110
00:38:47.2,86.19,-111
00:38:47.2,54.37,-111
00:38:47.2,11.77,-110
00:38:47.2,-33.12,-109
00:38:47.2,-76.8,-109
00:38:47.3,-120.59,-106
00:38:47.3,-144.43,-105
00:38:47.3,-150.21,-104
00:38:47.3,-142.64,-104
00:38:47.4,-129.72,-103
00:38:47.4,-114.29,-102
00:38:47.4,-97.6,-99
00:38:47.4,-85.25,-99
00:38:47.5,-73.21,-99
00:38:47.5,-63.31,-99
00:38:47.5,-38.89,-100
00:38:47.5,-2.03,-101
00:38:47.5,8.6,-102
00:38:47.6,9.52,-101
00:38:47.6,5.46,-100
00:38:47.6,-2.02,-99
00:38:47.6,-7.47,-99
00:38:47.6,-9.31,-98
00:38:47.7,-4.63,-98
00:38:47.7,-0.59,-97
00:38:47.7,3.88,-97
00:38:47.7,2.03,-98
00:38:47.7,41.07,-98
00:38:47.7,156.23,-98
00:38:47.7,168.04,-96
00:38:47.8,46.65,-96
00:38:47.8,-61.56,-96
00:38:47.8,-64.73,-97
00:38:47.8,-54.92,-97
00:38:47.8,-38.02,-97
00:38:47.9,-21.29,-98
00:38:47.9,-13.35,-100
00:38:47.9,-9.54,-101
00:38:47.9,-7.79,-104
00:38:47.9,-5.47,-111
00:38:48,-0.63,-115
00:38:48,14.1,-119
00:38:48,43.72,-123
00:38:48.1,65.1,-127
00:38:48.1,66.51,-130
00:38:48.1,65.8,-132
00:38:48.1,64.12,-132
00:38:48.1,60.31,-130
00:38:48.2,53.89,-127
00:38:48.2,47.77,-124
00:38:48.2,54.78,-121
00:38:48.2,-33.38,-122
00:38:48.2,-290.55,-123
00:38:48.3,-290.02,-123
00:38:48.3,-275.39,-121
00:38:48.3,-75.57,-120
00:38:48.3,68.04,-119
00:38:48.3,177.83,-118
00:38:48.3,252.72,-118
00:38:48.4,251.18,-116
00:38:48.4,241.37,-112
00:38:48.4,225.58,-111
00:38:48.4,205.99,-111
00:38:48.4,193.66,-111
00:38:48.4,174.69,-109
00:38:48.5,137.52,-107
00:38:48.5,80.79,-106
00:38:48.5,19.45,-107
00:38:48.6,-43.07,-107
00:38:48.6,-105.27,-106
00:38:48.6,-158.5,-104
00:38:48.6,-189.07,-103
00:38:48.6,-195.39,-104
00:38:48.7,-186.34,-104
00:38:48.7,-168.77,-104
00:38:48.7,-141.55,-103
00:38:48.7,-116.36,-102
00:38:48.7,-102.28,-102
00:38:48.7,-93.18,-102
00:38:48.7,-77.09,-101
00:38:48.8,-48.06,-100
00:38:48.8,-14.37,-99
00:38:48.8,14.13,-98
00:38:48.8,30.52,-98
00:38:48.9,37.23,-96
00:38:48.9,40,-98
00:38:48.9,42.3,-99
00:38:48.9,40.95,-98
00:38:48.9,42.38,-100
00:38:48.9,45.9,-100
00:38:49,48.78,-102
00:38:49,48.87,-101
00:38:49,47.14,-100
00:38:49.1,46.14,-100
00:38:49.1,47.28,-100
00:38:49.1,42.84,-100
00:38:49.1,69.58,-102
00:38:49.1,162.12,-102
00:38:49.2,196.56,-102
00:38:49.2,32.65,-99
00:38:49.2,-81.37,-98
00:38:49.2,-76.4,-98
00:38:49.2,-67.36,-99
00:38:49.2,-56.37,-99
00:38:49.2,-47.96,-100
00:38:49.3,-45.6,-100
00:38:49.3,-43.97,-102
00:38:49.3,-39.4,-106
00:38:49.3,-35.11,-112
00:38:49.4,-34.12,-117
00:38:49.4,-26.1,-122
00:38:49.4,-7.76,-127
00:38:49.4,6.85,-133
00:38:49.4,10.37,-137
00:38:49.5,16.29,-140
00:38:49.5,24.52,-138
00:38:49.5,25.94,-137
00:38:49.5,18.04,-135
00:38:49.6,9.81,-134
00:38:49.6,1.83,-133
00:38:49.6,-5.6,-133
00:38:49.6,-30.88,-130
00:38:49.6,-130.75,-130
00:38:49.6,-277.35,-129
00:38:49.6,-264.81,-127
00:38:49.7,-229.9,-124
00:38:49.7,95.18,-120
00:38:49.7,209.57,-119
00:38:49.8,200.71,-118
00:38:49.8,188.66,-116
00:38:49.8,175.25,-114
00:38:49.8,167.76,-113
00:38:49.8,172,-114
00:38:49.9,172,-114
00:38:49.9,165.98,-113
00:38:49.9,141.81,-111
00:38:49.9,84.69,-113
00:38:49.9,21.75,-112
00:38:49.9,-32.43,-113
00:38:49.9,-73.48,-113
00:38:50,-110.54,-112
00:38:50,-132.22,-109
00:38:50,-135.05,-108
00:38:50,-132.99,-108
00:38:50,-126.75,-108
00:38:50.1,-119.23,-105
00:38:50.1,-104.03,-102
00:38:50.1,-87.14,-103
